longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,income_cat,rooms_per_household,bedrooms_per_room,population_per_household,ocean_proximity_LESS_THAN_1H_OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR_BAY,ocean_proximity_NEAR_OCEAN,median_house_value
-117.03,32.71,33,3126,627,2300,623,3.2596,3,5.268539326,0.212610365,3.95024077,FALSE,FALSE,FALSE,FALSE,TRUE,103000
-118.16,33.77,49,3382,787,1314,756,3.8125,3,4.697222222,0.246664695,1.859761905,FALSE,FALSE,FALSE,FALSE,TRUE,382100
-120.48,34.66,4,1897,331,915,336,4.1563,3,5.928125,0.184955192,2.913839286,FALSE,FALSE,FALSE,FALSE,TRUE,172600
-117.11,32.69,36,1421,367,1418,355,1.9425,2,4.202957746,0.273764954,4.273971831,FALSE,FALSE,FALSE,FALSE,TRUE,93400
-119.8,36.78,43,2382,431,874,380,3.5542,3,6.581842105,0.191796809,2.461,TRUE,FALSE,FALSE,FALSE,FALSE,96500
-121.86,37.42,20,5032,808,2695,801,6.6227,5,6.596254682,0.170206677,3.600062422,FALSE,TRUE,FALSE,FALSE,FALSE,264800
-117.97,34.04,28,1686,417,1355,388,2.5192,2,4.562628866,0.262170819,3.736726804,FALSE,TRUE,FALSE,FALSE,FALSE,157300
-122.53,37.91,37,2524,398,999,417,7.9892,5,6.355395683,0.167147385,2.563381295,FALSE,FALSE,FALSE,TRUE,FALSE,500001
-117.9,34.13,5,1126,316,819,311,1.5,1,3.801607717,0.297477798,2.81778135,FALSE,TRUE,FALSE,FALSE,FALSE,139800
-117.79,34.02,5,18690,2862,9427,2777,6.4266,5,7.066798704,0.162317817,3.632297443,FALSE,TRUE,FALSE,FALSE,FALSE,315600
-122.45,37.72,52,982,197,653,171,4.2167,3,6.029824561,0.212647658,4.086023392,FALSE,FALSE,FALSE,TRUE,FALSE,231900
-118.35,33.97,25,1864,616,1710,575,2.2303,2,3.403826087,0.350300429,3.182086957,FALSE,TRUE,FALSE,FALSE,FALSE,159400
-119.72,37.46,13,1999,375,750,308,2.875,2,6.814772727,0.198849425,2.605519481,TRUE,FALSE,FALSE,FALSE,FALSE,96000
-121.88,37.33,36,1904,689,3561,632,2.0972,2,3.163291139,0.383581933,6.028908228,FALSE,TRUE,FALSE,FALSE,FALSE,187500
-118.34,34.18,46,1393,301,714,295,2.8125,2,4.958135593,0.229045226,2.589762712,FALSE,TRUE,FALSE,FALSE,FALSE,229900
-118.23,33.89,36,2598,514,1872,514,3.1667,3,5.307198444,0.209715166,3.896964981,FALSE,TRUE,FALSE,FALSE,FALSE,117700
-121.65,36.67,52,2351,459,1169,439,2.8924,2,5.623120729,0.206950234,2.849271071,FALSE,TRUE,FALSE,FALSE,FALSE,169600
-121.34,38.03,20,4213,751,2071,714,4.4063,3,6.195588235,0.18895324,3.10359944,TRUE,FALSE,FALSE,FALSE,FALSE,130800
-118.43,34.32,34,2657,515,1948,532,4.233,3,5.244078947,0.205457283,3.917969925,FALSE,TRUE,FALSE,FALSE,FALSE,157400
-118.28,33.93,21,847,278,1283,277,1.4329,1,3.210649819,0.347910272,4.95599278,FALSE,TRUE,FALSE,FALSE,FALSE,94100
-117.34,34.16,31,1606,354,1049,335,2.1935,2,5.033731343,0.233648817,3.350537313,TRUE,FALSE,FALSE,FALSE,FALSE,72700
-121.98,37.24,35,3574,485,1325,476,8.5425,5,7.883823529,0.143844432,2.978466387,FALSE,TRUE,FALSE,FALSE,FALSE,500001
-123.15,38.94,22,2163,436,1048,358,2.7171,2,6.343994413,0.213666204,3.132290503,FALSE,TRUE,FALSE,FALSE,FALSE,95800
-118.28,33.98,43,1240,312,1100,311,1.575,2,4.186495177,0.266709677,3.784565916,FALSE,TRUE,FALSE,FALSE,FALSE,97500
-122.31,40.89,18,754,161,247,107,2.2583,2,7.399065421,0.226339523,2.47,TRUE,FALSE,FALSE,FALSE,FALSE,78800
-122.28,37.89,52,2070,329,722,306,5.4171,4,7.102941176,0.16847343,2.524640523,FALSE,FALSE,FALSE,TRUE,FALSE,292000
-121.57,39.48,15,202,54,145,40,0.8252,1,5.3025,0.283366337,3.87875,TRUE,FALSE,FALSE,FALSE,FALSE,42500
-118.26,34.08,46,945,250,910,252,3.5039,3,3.9375,0.28042328,3.863888889,FALSE,TRUE,FALSE,FALSE,FALSE,187500
-118.07,33.8,22,1391,338,810,295,3.8792,3,4.951016949,0.257570093,2.937966102,FALSE,TRUE,FALSE,FALSE,FALSE,218200
